domain,subject,level,pca1,pca2,tsne1,tsne2
Mouse,POLYIC_20190531_polyic_m__E3_P1_6,level1,-2.3370592602382003,2.1624537604892002,34.56779,2.2559114
Mouse,POLYIC_20190524_polyic___E3_P1_13,level1,-4.537296285294819,1.4480674906479885,26.639765,6.033043
Mouse,POLYIC_20190531_polyic_m__E3_P1_2,level1,-1.6928006626481082,2.3434984186612238,37.05245,2.457002
Mouse,POLYIC_20190510_mouse39__E4_P1,level1,-5.268148713037758,1.3277098800852805,24.409924,5.219522
Mouse,POLYIC_20190628_mouse32__E3_P1,level1,-2.2244108924825596,2.3785443090046283,37.77943,-2.12714
Mouse,POLYIC_20190510_mouse43__E2_P1_1,level1,-4.4946070436782355,0.5035284234478568,25.673838,9.265014
Mouse,POLYIC_20190629_polyic_mo__E3_P1_5,level1,-3.0633130027850775,1.8391975834920555,31.100203,1.7358689
Mouse,POLYIC_20190628_mouse33__E3_P1,level1,-2.2922638004984814,1.3377802628158793,27.537338,-1.3185782
Mouse,POLYIC_20190517_mouse37__E3_P1,level1,-6.4524882011248845,1.7861707319500908,19.729456,8.624744
Mouse,POLYIC_20190619_mouse43__E3_P1,level1,-4.790519783281882,0.6544613502337495,27.972973,8.2346115
Mouse,POLYIC_20190517_mouse39__E12_P1,level1,-5.4520802471812155,1.5475761389025517,20.558067,7.7264953
Mouse,POLYIC_20190612_polyic___E10_P1_1,level1,-2.9985264471993855,0.8264156722992673,27.047348,0.2127752
Mouse,POLYIC_20190524_polyic___E3_P1_10,level1,-4.042672321675816,1.4569429491710204,28.32975,4.957781
Mouse,POLYIC_20190517_mouse40__E3_P1,level1,-3.3106856885287015,1.4686583022784585,24.645082,0.33009052
