domain,subject,threshold,dice,precision,recall,volume_ratio
Mouse,POLYIC_20190531_polyic_m__E3_P1_9,0.5,0.6669483959288137,0.5036859233687542,0.98680780611526,1.9591728899535015
Mouse,POLYIC_20190531_polyic_m__E3_P1_9,0.6,0.6798192880824863,0.5187570663355142,0.9859271523178808,1.9005565731999436
Mouse,POLYIC_20190531_polyic_m__E3_P1_9,0.7,0.6937195670378067,0.5354225911776253,0.984905593912921,1.8394920388896716
Mouse,POLYIC_20190531_polyic_m__E3_P1_6,0.3,0.6574824121526056,0.49582128972083445,0.9755614506868232,1.9675666836252634
Mouse,POLYIC_20190531_polyic_m__E3_P1_6,0.4,0.6727670703637036,0.5137011886176214,0.9745257649538484,1.8970673740824189
Mouse,POLYIC_20190531_polyic_m__E3_P1_6,0.5,0.6859341686568025,0.529574596395488,0.9733083799694745,1.8379060978268769
Mouse,POLYIC_20190531_polyic_m__E3_P1_6,0.6,0.6989168637391066,0.5456353658785369,0.9719638055091213,1.781343120866342
Mouse,POLYIC_20190531_polyic_m__E3_P1_6,0.7,0.7124383948995312,0.5627798674547734,0.9705283814230685,1.7245257649538484
Mouse,POLYIC_20190524_polyic___E3_P1_13,0.3,0.6430799570850052,0.4774612997393891,0.9846177219036044,2.062193778723081
Mouse,POLYIC_20190524_polyic___E3_P1_13,0.4,0.6567194452543641,0.4928644822468318,0.9837821413650347,1.9960499829085798
Mouse,POLYIC_20190524_polyic___E3_P1_13,0.5,0.6696850724740795,0.5077931122423958,0.9831174750275362,1.9360590983326371
Mouse,POLYIC_20190524_polyic___E3_P1_13,0.6,0.6825335031309179,0.5229789170332171,0.9821869421550382,1.87806221276919
Mouse,POLYIC_20190524_polyic___E3_P1_13,0.7,0.6959509533113252,0.5393016748110094,0.980857609480041,1.8187549849975313
Mouse,POLYIC_20190531_polyic_m__E3_P1_2,0.3,0.6695975284404001,0.5094246259014561,0.976686577652846,1.917234715390021
Mouse,POLYIC_20190531_polyic_m__E3_P1_2,0.4,0.6832821661262836,0.5257576761756881,0.9755797610681658,1.8555692199578355
Mouse,POLYIC_20190531_polyic_m__E3_P1_2,0.5,0.6951944707275656,0.5403099340586557,0.9745607870695713,1.803706957132818
Mouse,POLYIC_20190531_polyic_m__E3_P1_2,0.6,0.7074842960012256,0.5556413444569228,0.9735242445537596,1.7520730850316233
Mouse,POLYIC_20190531_polyic_m__E3_P1_2,0.7,0.7211465798045602,0.5730793124870573,0.9723822909346451,1.696767392832045
Mouse,POLYIC_20190510_mouse39__E4_P1,0.3,0.6988154194559888,0.5402693602693602,0.9890634355957874,1.830685780705153
Mouse,POLYIC_20190510_mouse39__E4_P1,0.4,0.7130885595024048,0.5577597773691796,0.9883237645732803,1.7719523792751224
Mouse,POLYIC_20190510_mouse39__E4_P1,0.5,0.7257374683757255,0.5736189102662452,0.9876545384100596,1.7217956394632101
Mouse,POLYIC_20190510_mouse39__E4_P1,0.6,0.73762702048123,0.5888800151320905,0.9869148673875524,1.6759184248529464
Mouse,POLYIC_20190510_mouse39__E4_P1,0.7,0.7493907827437538,0.604482125499514,0.9856820823500405,1.6306223803317952
Mouse,POLYIC_20190628_mouse32__E3_P1,0.3,0.6413659120655957,0.4748442157774437,0.9877607838883465,2.0801786166250857
Mouse,POLYIC_20190628_mouse32__E3_P1,0.4,0.6606249432832209,0.4964402942326402,0.9870737968687855,1.9883031420616841
Mouse,POLYIC_20190628_mouse32__E3_P1,0.5,0.6769079955576788,0.5152980739257342,0.9862060237914452,1.9138554434681998
Mouse,POLYIC_20190628_mouse32__E3_P1,0.6,0.6929673445257424,0.5343889406343448,0.9853744079256608,1.8439273963191958
Mouse,POLYIC_20190628_mouse32__E3_P1,0.7,0.7094618360886388,0.5545271260997068,0.9845427920598764,1.7754637162382036
Mouse,POLYIC_20190510_mouse43__E2_P1_1,0.3,0.4716489681426568,0.3099917695473251,0.9856589553019993,3.1796294357793364
Mouse,POLYIC_20190510_mouse43__E2_P1_1,0.4,0.4843913896843528,0.321172866371402,0.9849262011933424,3.066654454098189
Mouse,POLYIC_20190510_mouse43__E2_P1_1,0.5,0.49581438270384287,0.33137147791150506,0.9842457866638752,2.970218779441013
Mouse,POLYIC_20190510_mouse43__E2_P1_1,0.6,0.5070935621622715,0.3416075112932985,0.9835653721344081,2.879226421019575
Mouse,POLYIC_20190510_mouse43__E2_P1_1,0.7,0.5198089700996678,0.35336131290698986,0.9827017690777766,2.781011200669947
Mouse,POLYIC_20190629_polyic_mo__E3_P1_5,0.3,0.6210302209196229,0.4527036287559357,0.9886263600831016,2.1838268953132154
Mouse,POLYIC_20190629_polyic_mo__E3_P1_5,0.4,0.6405036270967815,0.4738664482184932,0.9879045036797071,2.084774111764499
Mouse,POLYIC_20190629_polyic_mo__E3_P1_5,0.5,0.6591754576709471,0.4947290418765493,0.9873763160674671,1.9957921053558223
Mouse,POLYIC_20190629_polyic_mo__E3_P1_5,0.6,0.677923649343578,0.516415956936917,0.9864255783654354,1.9101376809042572
Mouse,POLYIC_20190629_polyic_mo__E3_P1_5,0.7,0.6972208557248628,0.5393820273434112,0.9856509032008169,1.8273706820662698
Mouse,POLYIC_20190628_mouse33__E3_P1,0.3,0.6235457384063837,0.45654530059271803,0.9831874544128374,2.1535375638220278
Mouse,POLYIC_20190628_mouse33__E3_P1,0.4,0.6422015067709327,0.4770223843592831,0.9823668854850474,2.0593727206418673
Mouse,POLYIC_20190628_mouse33__E3_P1,0.5,0.660322952710496,0.49756832723103667,0.9813092633114515,1.9722100656455142
Mouse,POLYIC_20190628_mouse33__E3_P1,0.6,0.6787610228441936,0.5190623763045347,0.9803975200583516,1.8887855579868709
Mouse,POLYIC_20190628_mouse33__E3_P1,0.7,0.698016938246248,0.5423126256148183,0.9791393143690736,1.8054886943836617
