domain,subject,region,bin_center,density
CAMRI,002,brain,0.6700000166893005,1.5816384547950408
CAMRI,002,brain,0.6899999976158142,1.531530924546395
CAMRI,002,brain,0.7100000381469727,1.519668888417786
CAMRI,002,brain,0.7300000190734863,1.4538833776725395
CAMRI,002,brain,0.75,1.3903883393421945
CAMRI,002,brain,0.7699999809265137,1.3066207887738477
CAMRI,002,brain,0.7899999618530273,1.2626294992869649
CAMRI,002,brain,0.8100000023841858,1.190340718578517
CAMRI,002,brain,0.8299999833106995,1.1268456802481719
CAMRI,002,brain,0.8500000238418579,1.0289225547052214
CAMRI,002,brain,0.8700000047683716,0.978435590656763
CAMRI,002,brain,0.8899999856948853,0.8629205209232436
CAMRI,002,brain,0.9099999666213989,0.8089855773983431
CAMRI,002,brain,0.9300000071525574,0.7240729371044771
CAMRI,002,brain,0.949999988079071,0.661725399466849
CAMRI,002,brain,0.9700000286102295,0.5974635800927717
CAMRI,002,brain,0.9900000095367432,3.5343021335686045
CAMRI,002,background,0.009999999776482582,8.566629189226573
CAMRI,002,background,0.029999999329447746,12.03766003789446
CAMRI,002,background,0.04999999701976776,9.990880379723471
CAMRI,002,background,0.07000000029802322,6.270807642836136
CAMRI,002,background,0.09000000357627869,3.5252459858314404
CAMRI,002,background,0.10999999940395355,2.112815041057631
CAMRI,002,background,0.12999999523162842,1.4567346437092825
CAMRI,002,background,0.15000000596046448,1.1128346581924018
CAMRI,002,background,0.17000000178813934,0.9061124017264776
CAMRI,002,background,0.1899999976158142,0.7449144700480727
CAMRI,002,background,0.21000000834465027,0.6152083063105589
CAMRI,002,background,0.22999998927116394,0.5180621260627092
CAMRI,002,background,0.25,0.4399029151097688
CAMRI,002,background,0.26999998092651367,0.39361711838021346
CAMRI,002,background,0.2900000214576721,0.31370415052619105
CAMRI,002,background,0.3100000023841858,0.25033842023230946
CAMRI,002,background,0.32999998331069946,0.19040332130867746
CAMRI,002,background,0.3500000238418579,0.14152525604681832
CAMRI,002,background,0.3700000047683716,0.09714625262746338
CAMRI,002,background,0.38999998569488525,0.07076262802340916
CAMRI,002,background,0.4099999964237213,0.04819186158599439
CAMRI,002,background,0.4300000071525574,0.03454253286056504
CAMRI,002,background,0.44999998807907104,0.024858423206499343
CAMRI,002,background,0.4699999988079071,0.021122065916646275
CAMRI,002,background,0.49000000953674316,0.019978241963505602
CAMRI,002,background,0.5099999904632568,0.014640565545112219
CAMRI,002,background,0.5299999713897705,0.011590413181057876
CAMRI,002,background,0.550000011920929,0.008235318119125623
CAMRI,002,background,0.5699999928474426,0.007701547500293407
CAMRI,002,background,0.5900000333786011,0.007244008238161172
CAMRI,002,background,0.6100000143051147,0.005642717970512001
