task,transform,self_consistency_dice,transformed_vs_expert_dice,baseline_vs_expert_dice,accuracy_delta,subject
lesion,axis0_+20deg,0.9540660885868292,0.9034246864574975,0.9148909021309174,-0.011466215673419877,20170713CH_Exp7_ZFPtm1a_M24
lesion,axis0_+30deg,0.8600343173302518,0.8024478149872353,0.9148909021309174,-0.11244308714368212,20170713CH_Exp7_ZFPtm1a_M24
lesion,axis1_+5deg,0.9760113443888604,0.9145998465865508,0.9148909021309174,-0.00029105554436659187,20170713CH_Exp7_ZFPtm1a_M24
lesion,axis1_+10deg,0.9712791665016044,0.9205042449189607,0.9148909021309174,0.005613342788043263,20170713CH_Exp7_ZFPtm1a_M24
lesion,axis1_+20deg,0.9402381227603746,0.8924766977363515,0.9148909021309174,-0.022414204394565873,20170713CH_Exp7_ZFPtm1a_M24
lesion,axis1_+30deg,0.898258144450113,0.8388386035029975,0.9148909021309174,-0.07605229862791985,20170713CH_Exp7_ZFPtm1a_M24
lesion,axis2_+5deg,0.9729432122070159,0.9136852852341856,0.9148909021309174,-0.0012056168967318204,20170713CH_Exp7_ZFPtm1a_M24
lesion,axis2_+10deg,0.9714865233841713,0.906476640242874,0.9148909021309174,-0.008414261888043395,20170713CH_Exp7_ZFPtm1a_M24
lesion,axis2_+20deg,0.9596002633923384,0.8973886842986274,0.9148909021309174,-0.01750221783229,20170713CH_Exp7_ZFPtm1a_M24
lesion,axis2_+30deg,0.9311167493467641,0.873397043208364,0.9148909021309174,-0.04149385892255342,20170713CH_Exp7_ZFPtm1a_M24
lesion,resampling_floor,1.0,0.9381863635010863,0.9381863635010863,0.0,20170714CH_Exp7_ZFPtm1a_M28
lesion,axis0_+5deg,0.9726380125067202,0.9345195729537367,0.9381863635010863,-0.003666790547349641,20170714CH_Exp7_ZFPtm1a_M28
lesion,axis0_+10deg,0.9595388661928479,0.9258141102676085,0.9381863635010863,-0.012372253233477792,20170714CH_Exp7_ZFPtm1a_M28
lesion,axis0_+20deg,0.9564535551261587,0.9254869748885238,0.9381863635010863,-0.012699388612562479,20170714CH_Exp7_ZFPtm1a_M28
lesion,axis0_+30deg,0.9033652199119825,0.8693497770192149,0.9381863635010863,-0.06883658648187141,20170714CH_Exp7_ZFPtm1a_M28
lesion,axis1_+5deg,0.9810153523085218,0.9383663513593908,0.9381863635010863,0.00017998785830453112,20170714CH_Exp7_ZFPtm1a_M28
lesion,axis1_+10deg,0.979235407896234,0.9417026986730281,0.9381863635010863,0.003516335171941831,20170714CH_Exp7_ZFPtm1a_M28
lesion,axis1_+20deg,0.9735603662188757,0.9400717703349283,0.9381863635010863,0.0018854068338419738,20170714CH_Exp7_ZFPtm1a_M28
lesion,axis1_+30deg,0.9625038735667802,0.9275002951942378,0.9381863635010863,-0.010686068306848484,20170714CH_Exp7_ZFPtm1a_M28
lesion,axis2_+5deg,0.9762629679747407,0.9348025169123512,0.9381863635010863,-0.00338384658873514,20170714CH_Exp7_ZFPtm1a_M28
