domain,subject,native_coordinate_axis,candidate_factor_pixels,expected_level1_footprint_pixels,expert_best_residue,expert_max_alignment_fraction,prediction_best_residue,prediction_max_alignment_fraction,prediction_minus_expert_alignment,expert_transition_count,prediction_transition_count
Mouse,POLYIC_20190510_mouse43__E2_P1_1,x,7,3.199999881,1,0.1565617805,1,0.1689342404,0.01237245986,2606,2646
Mouse,POLYIC_20190510_mouse43__E2_P1_1,x,8,3.199999881,4,0.1404451266,2,0.148904006,0.008458879416,2606,2646
Mouse,POLYIC_20190510_mouse43__E2_P1_1,y,2,4.999999925,1,0.5104875283,0,0.5070713023,-0.003416226046,3528,3394
Mouse,POLYIC_20190510_mouse43__E2_P1_1,y,3,4.999999925,1,0.3449546485,2,0.4121979965,0.06724334794,3528,3394
Mouse,POLYIC_20190510_mouse43__E2_P1_1,y,4,4.999999925,3,0.2593537415,0,0.3173246906,0.05797094913,3528,3394
Mouse,POLYIC_20190510_mouse43__E2_P1_1,y,5,4.999999925,2,0.2091836735,2,0.5427224514,0.3335387779,3528,3394
Mouse,POLYIC_20190510_mouse43__E2_P1_1,y,6,4.999999925,1,0.1833900227,2,0.2304065999,0.04701657721,3528,3394
Mouse,POLYIC_20190510_mouse43__E2_P1_1,y,7,4.999999925,3,0.1678004535,1,0.2015321155,0.03373166198,3528,3394
Mouse,POLYIC_20190510_mouse43__E2_P1_1,y,8,4.999999925,3,0.1513605442,4,0.2212728344,0.0699122902,3528,3394
Mouse,POLYIC_20190510_mouse43__E9_P1,x,2,3.199999881,0,0.5094195519,1,0.5085449219,-0.0008746300598,3928,4096
Mouse,POLYIC_20190510_mouse43__E9_P1,x,3,3.199999881,2,0.3383401222,2,0.3420410156,0.003700893425,3928,4096
Mouse,POLYIC_20190510_mouse43__E9_P1,x,4,3.199999881,2,0.2650203666,1,0.2736816406,0.008661274026,3928,4096
Mouse,POLYIC_20190510_mouse43__E9_P1,x,5,3.199999881,0,0.2130855397,1,0.2109375,-0.002148039715,3928,4096
Mouse,POLYIC_20190510_mouse43__E9_P1,x,6,3.199999881,2,0.1736252546,2,0.1782226562,0.004597401668,3928,4096
Mouse,POLYIC_20190510_mouse43__E9_P1,x,7,3.199999881,4,0.1555498982,4,0.1596679688,0.004118070583,3928,4096
Mouse,POLYIC_20190510_mouse43__E9_P1,x,8,3.199999881,2,0.1336558045,1,0.1511230469,0.01746724239,3928,4096
Mouse,POLYIC_20190510_mouse43__E9_P1,y,2,4.999999925,0,0.5155291411,1,0.5394986707,0.02396952961,5216,5266
Mouse,POLYIC_20190510_mouse43__E9_P1,y,3,4.999999925,1,0.3462423313,1,0.3885301937,0.04228786241,5216,5266
Mouse,POLYIC_20190510_mouse43__E9_P1,y,4,4.999999925,2,0.2615030675,1,0.2791492594,0.01764619192,5216,5266
Mouse,POLYIC_20190510_mouse43__E9_P1,y,5,4.999999925,4,0.2064800613,2,0.5159513863,0.3094713249,5216,5266
Mouse,POLYIC_20190510_mouse43__E9_P1,y,6,4.999999925,4,0.1869248466,1,0.2326243828,0.04569953621,5216,5266
Mouse,POLYIC_20190510_mouse43__E9_P1,y,7,4.999999925,6,0.1704371166,6,0.174325864,0.003888747469,5216,5266
Mouse,POLYIC_20190510_mouse43__E9_P1,y,8,4.999999925,0,0.1460889571,1,0.2007216103,0.05463265328,5216,5266
Mouse,POLYIC_20190517_mouse33__E2_P1,x,2,3.199999881,0,0.5048179872,1,0.5005387931,-0.004279194049,3736,3712
Mouse,POLYIC_20190517_mouse33__E2_P1,x,3,3.199999881,2,0.3476980728,2,0.3542564655,0.006558392712,3736,3712
Mouse,POLYIC_20190517_mouse33__E2_P1,x,4,3.199999881,1,0.2639186296,1,0.2688577586,0.00493912907,3736,3712
Mouse,POLYIC_20190517_mouse33__E2_P1,x,5,3.199999881,0,0.2098501071,4,0.2128232759,0.002973168796,3736,3712
Mouse,POLYIC_20190517_mouse33__E2_P1,x,6,3.199999881,5,0.1838865096,5,0.1915409483,0.00765443864,3736,3712
Mouse,POLYIC_20190517_mouse33__E2_P1,x,7,3.199999881,2,0.1664882227,2,0.1559806034,-0.01050761925,3736,3712
Mouse,POLYIC_20190517_mouse33__E2_P1,x,8,3.199999881,5,0.1482869379,6,0.1446659483,-0.003620989626,3736,3712
Mouse,POLYIC_20190517_mouse33__E2_P1,y,2,4.999999925,1,0.5232198142,1,0.5179770842,-0.005242730085,5168,5062
Mouse,POLYIC_20190517_mouse33__E2_P1,y,3,4.999999925,1,0.3392027864,2,0.4229553536,0.08375256724,5168,5062
Mouse,POLYIC_20190517_mouse33__E2_P1,y,4,4.999999925,3,0.2732198142,1,0.3038324773,0.03061266304,5168,5062
Mouse,POLYIC_20190517_mouse33__E2_P1,y,5,4.999999925,2,0.2172987616,0,0.5049387594,0.2876399978,5168,5062
Mouse,POLYIC_20190517_mouse33__E2_P1,y,6,4.999999925,5,0.1919504644,5,0.2485183722,0.05656790779,5168,5062
Mouse,POLYIC_20190517_mouse33__E2_P1,y,7,4.999999925,5,0.161377709,3,0.1924140656,0.03103635661,5168,5062
Mouse,POLYIC_20190517_mouse33__E2_P1,y,8,4.999999925,7,0.1420278638,5,0.2149348084,0.0729069446,5168,5062
Mouse,POLYIC_20190517_mouse35__E2_P1,x,2,3.199999881,1,0.5021063718,1,0.5159914712,0.01388509944,3798,3752
Mouse,POLYIC_20190517_mouse35__E2_P1,x,3,3.199999881,0,0.3467614534,1,0.3590085288,0.01224707539,3798,3752
Mouse,POLYIC_20190517_mouse35__E2_P1,x,4,3.199999881,0,0.2646129542,3,0.2681236674,0.003510713191,3798,3752
Mouse,POLYIC_20190517_mouse35__E2_P1,x,5,3.199999881,0,0.229331227,4,0.2257462687,-0.003584958305,3798,3752
Mouse,POLYIC_20190517_mouse35__E2_P1,x,6,3.199999881,0,0.1761453397,1,0.1855010661,0.009355726446,3798,3752
Mouse,POLYIC_20190517_mouse35__E2_P1,x,7,3.199999881,6,0.168509742,6,0.1724413646,0.003931622636,3798,3752
Mouse,POLYIC_20190517_mouse35__E2_P1,x,8,3.199999881,3,0.1529752501,3,0.1532515991,0.0002763490155,3798,3752
