relative_path,extension,size_bytes,detected_format,annotation_candidate,name_keyword_matches,hidden_file
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/038.2/3e406bcc-69e9-4a30-84b1-d90363ed8e12.dcm,.dcm,37920,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/038.2/5069c1cb-ca5a-4f03-9d58-bd762791898b.dcm,.dcm,37920,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/038.2/50e962cd-8964-4b75-adb0-7bc9b6e1d03a.dcm,.dcm,37920,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/038.2/67f4c088-947b-4054-bf8e-9281fac202d2.dcm,.dcm,37920,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/038.2/7cc5fc6e-4a44-4b3c-b2d5-43282fb598bd.dcm,.dcm,37920,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/038.2/80b87543-cafe-4c34-a660-8ac56f2b7b90.dcm,.dcm,37920,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/038.2/8758f027-6c9b-457b-9b7c-1fb622a156b4.dcm,.dcm,37920,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/038.2/aeb81a47-1e13-4897-a48f-baadc200b337.dcm,.dcm,37920,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/038.2/b0412b09-7a79-4051-baa4-bc6810c757cc.dcm,.dcm,37920,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/038.2/eb535721-3005-4378-b3c2-c3af14bb00fe.dcm,.dcm,37920,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/038.2/f33b43f8-ebf2-4812-95a2-ace3b41efe6f.dcm,.dcm,37920,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/115.2/00500905-6481-42d7-a00a-1e40e0423eba.dcm,.dcm,37966,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/115.2/006c06a3-2ac6-4f97-8b63-68e1c085d765.dcm,.dcm,37970,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/115.2/018fc709-0f47-489c-9551-c0cd4e8b56a4.dcm,.dcm,37966,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/115.2/01baa792-2359-4c5f-8ab5-6034441500fe.dcm,.dcm,37968,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/115.2/01d0c8bb-2c79-45ce-a9e4-673979ed9cd2.dcm,.dcm,37970,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/115.2/022b31ad-bfb7-4a50-8a3d-58ed0df3d169.dcm,.dcm,37968,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/115.2/024d98df-792c-410c-a1b7-683849049839.dcm,.dcm,37966,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/115.2/033dad13-4924-4e23-93ba-95668abd30ae.dcm,.dcm,37970,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/115.2/04528f45-ad1f-40d8-9f98-f8394bfa6ada.dcm,.dcm,37970,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/115.2/0498aa20-2acf-4e93-8177-b190fdf01862.dcm,.dcm,37970,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/115.2/04a33a70-bed1-4432-9ea0-f9e99083ebc9.dcm,.dcm,37966,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/115.2/058433d4-8e3b-40b3-8377-080fe57d83e2.dcm,.dcm,37970,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/115.2/0636f826-0320-4705-b428-893942666cc8.dcm,.dcm,37970,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/115.2/0662ba50-1b3a-4cee-a00e-b4815f5602e3.dcm,.dcm,37968,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/115.2/066cd25d-7bce-450b-8efc-2f3f2ce3ec6f.dcm,.dcm,37970,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/115.2/06b4f9da-4447-4c76-93d2-3dba4203a100.dcm,.dcm,37970,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/115.2/06d99be0-873e-424c-9dab-e846e493fbd9.dcm,.dcm,37964,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/115.2/07cf3e61-e5ff-4a6e-beb6-f4adca350403.dcm,.dcm,37970,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/115.2/082a66bb-d569-4007-934a-b7d245d2e036.dcm,.dcm,37966,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/115.2/08670eb5-3d14-4f36-bf0c-bb7fbe486847.dcm,.dcm,37968,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/115.2/089110be-f282-4daf-9f73-9b37879c22d2.dcm,.dcm,37970,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/115.2/08977bc2-4b94-4897-bf4b-4c3898412766.dcm,.dcm,37968,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/115.2/08ad0ab4-e62f-447b-86e7-0ff8e2f13074.dcm,.dcm,37966,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/115.2/09611367-c9f3-4abd-b71b-fd19490f6c1f.dcm,.dcm,37970,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/115.2/09612400-fc50-4b9d-8701-34920803cabe.dcm,.dcm,37970,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/115.2/09737c9b-de63-4820-bfdc-9c9f51ac3157.dcm,.dcm,37966,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/115.2/09d2eecc-77c7-4419-9ae4-7080705b6c5f.dcm,.dcm,37970,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/115.2/0acaec46-6028-4813-b3e0-294612b4c307.dcm,.dcm,37970,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/115.2/0ae9ed8b-a632-47fa-b8b4-73f0bb648b83.dcm,.dcm,37970,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/115.2/0b8fc54d-69c6-4742-b2b0-a84b76d9354b.dcm,.dcm,37968,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/115.2/0b91471a-d07a-4c51-9dc3-acf2a5f86ff5.dcm,.dcm,37970,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/115.2/0beff29c-7c95-4d8d-83d3-8066261715e2.dcm,.dcm,37970,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/115.2/0c42a839-da97-4430-a369-98e80a100441.dcm,.dcm,37964,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/115.2/0c7241b6-031f-421b-bb1d-418d4df31b42.dcm,.dcm,37970,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/115.2/0c92f159-fc3a-48ed-adfe-144a5a3f7b92.dcm,.dcm,37970,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/115.2/0cc878d8-733b-44b3-85db-6a7e946695fb.dcm,.dcm,37970,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/115.2/0d42410a-5849-409f-9fff-a5952a7199f8.dcm,.dcm,37964,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/115.2/0d69d0b5-f313-422c-9778-82ba8fb2c76b.dcm,.dcm,37966,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/115.2/0dc0e8ef-c9f9-47c2-a717-f81cc7e20e68.dcm,.dcm,37970,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/115.2/0e14b90c-4c9e-4681-811c-6b55403b5a2a.dcm,.dcm,37968,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/115.2/0e42c709-f48e-4cc7-b347-63c324dd3086.dcm,.dcm,37970,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/115.2/0e4be384-d54f-4663-ba50-cd401b8c5dee.dcm,.dcm,37970,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/115.2/0e4d178c-8769-4ad2-906d-3102138dfe06.dcm,.dcm,37970,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/115.2/0f481ea2-4672-432e-bfaa-03b5f8cf2fa5.dcm,.dcm,37966,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/115.2/0f57b9e4-560c-4a4a-ba76-fdfc50263523.dcm,.dcm,37966,DICOM,0,,0
mouse_astrocytoma/TVD_GBM_IC1_070610_16_100110/631.2/115.2/0f9c567a-48b9-4b06-8222-6c1ab698a838.dcm,.dcm,37966,DICOM,0,,0
