domain,subject,component_rank,component_label,is_largest_component,voxel_volume,physical_volume_mm3,centroid_i,centroid_j,centroid_k,centroid_world_x,centroid_world_y,centroid_world_z,centroid_distance_to_largest_mm,minimum_distance_to_largest_mm,bbox_i0,bbox_j0,bbox_k0,bbox_i1_exclusive,bbox_j1_exclusive,bbox_k1_exclusive,occupied_slices,average_image_intensity,brain_intensity_zscore,locally_brain_like,expert_overlap_voxels,expert_overlap_fraction
Mouse,POLYIC_20190517_mouse43__E3_P1,1,1,1,115424,461.6957110481173,95.84290095647353,116.91058185472691,15.286569517604658,-0.5913568657508979,-2.962448227465922,-0.6103755226336816,0.0,0.0,44,77,0,145,152,35,35,29.06850814819336,0.0515544255121854,1,113850,0.9863633213196562
Mouse,POLYIC_20190524_polyic___E3_P1,1,1,1,103914,415.65561598705074,90.64176145658911,105.80467501972785,15.496343129895875,0.5593045160883037,-0.34624632906386665,0.1726121431538612,0.0,0.0,41,75,0,139,140,37,37,26.963825225830078,0.07557185232767102,1,102962,0.99083857805493
Mouse,POLYIC_20190524_polyic___E3_P1,2,2,0,2138,8.551992099046466,94.22263797942001,31.18288119738073,12.55378858746492,0.2012168584692926,7.115969947330024,-1.0041753277660153,7.562917907655151,3.300000049173832,76,22,7,116,45,18,11,18.50516128540039,-1.5820973153280562,0,0,0.0
Mouse,POLYIC_20190524_polyic___E3_P1,3,3,0,168,0.671999379158001,94.63690476190476,58.50595238095238,20.363095238095237,0.15979017960351172,4.383565160847706,2.119458956409556,5.130393839603376,1.4317821276628513,89,55,19,101,62,23,4,19.131389617919922,-1.4593735133138397,0,0,0.0
Mouse,POLYIC_20190524_polyic___E3_P1_1,1,1,1,112613,450.45212082064484,89.33601804409793,116.53502703950699,14.734773072380632,-0.19032534146149693,-0.4162984693720695,-1.4598571555935784,0.0,0.0,38,82,0,141,150,35,35,24.649314880371094,0.043142403754138574,1,111345,0.9887401987337163
Mouse,POLYIC_20190524_polyic___E3_P1_10,1,1,1,109501,438.004117481831,97.60651500899534,118.840174975571,14.687253997680386,-0.8429707934957342,-1.3344976533101747,-0.134966068694939,0.0,0.0,46,85,0,147,152,35,35,22.098941802978516,0.029041910862679415,1,107299,0.9798905946064419
Mouse,POLYIC_20190524_polyic___E3_P1_12,1,1,1,114508,458.0321228537593,94.25029692248576,106.81012680336745,15.643666818038914,-0.5350542849019355,-0.17930010290451293,0.016538574079752344,0.0,0.0,45,70,0,143,145,36,36,26.21122169494629,0.023272802508630626,1,112376,0.9813812135396653
Mouse,POLYIC_20190524_polyic___E3_P1_12,2,2,0,29,0.11600003111362542,107.86206896551724,27.310344827586206,10.0,-1.8962315094882047,7.770748764143958,-2.240680221607108,8.375626371609057,4.592385194312462,105,25,10,112,30,11,1,22.928756713867188,-0.5455192501342073,1,0,0.0
Mouse,POLYIC_20190524_polyic___E3_P1_13,1,1,1,105849,423.3961135636599,84.79852431293635,110.954775198632,15.210630237413675,0.39050781679740076,-0.7567491511466198,1.2698980517283962,0.0,0.0,36,77,0,135,145,36,36,26.793846130371094,0.03580555991906536,1,104173,0.9841661234399947
Mouse,POLYIC_20190524_polyic___E3_P1_13,2,3,0,1903,7.612002041697558,92.13084603258014,34.44771413557541,4.699421965317919,-0.3427243660929893,6.894088472393134,-2.9343471422862457,8.760629168455473,3.732291586501775,76,27,1,109,50,10,9,21.726558685302734,-0.9608132852852289,1,0,0.0
