domain,subject,baseline_dice,unetr_style_dice,dice_change,baseline_hd95_mm,unetr_style_hd95_mm,hd95_change_mm,baseline_assd_mm,unetr_style_assd_mm
Mouse,POLYIC_20190524_polyic___E3_P1_13,0.980219820296224,0.9813817271360756,0.001161906839851623,0.10000000149011612,0.10000000149011612,0.0,0.023642062176327017,0.021246889800846637
Mouse,POLYIC_20190524_polyic___E3_P1_3,0.9764336529400994,0.9798875780956302,0.0034539251555307793,0.14142135834465194,0.10000000149011612,-0.041421356854535823,0.028711301388196785,0.02363414730435729
Mouse,POLYIC_20190524_polyic___E3_P1_4,0.9807887554225287,0.9826953329837441,0.0019065775612153724,0.10000000149011612,0.10000000149011612,0.0,0.023057890543396943,0.019891823464574104
Mouse,POLYIC_20190524_polyic___E3_P1_5,0.9788653358153455,0.9816596335545033,0.002794297739157736,0.10000000149011612,0.10000000149011612,0.0,0.02836738455578804,0.0229747584742718
Mouse,POLYIC_20190524_polyic___E3_P1_6,0.976444071616801,0.9765945392895495,0.00015046767274851103,0.14142135834465194,0.20000000298023224,0.058578644635580296,0.03079691263220829,0.036853181004655816
Mouse,POLYIC_20190524_polyic___E3_P1_7,0.9784941715140048,0.9800963382125988,0.001602166698594032,0.10000000149011612,0.10000000149011612,0.0,0.02490220538732102,0.022914027849253338
Mouse,POLYIC_20190524_polyic___E3_P1_9,0.9815923768233753,0.9824458138450324,0.0008534370216570775,0.10000000149011612,0.10000000149011612,0.0,0.020744587988785052,0.01992172129109798
Mouse,POLYIC_20190524_polyic___E4_P1_1,0.9784569896782352,0.9808405576408462,0.0023835679626109663,0.10000000149011612,0.10000000149011612,0.0,0.027792490143404066,0.023248651750403034
Mouse,POLYIC_20190524_polyic___E4_P1_7,0.9789330210944218,0.9794205611744025,0.00048754007998064175,0.10000000149011612,0.10000000149011612,0.0,0.025593005832881585,0.02530104773723415
Mouse,POLYIC_20190524_polyic___E4_P1_9,0.975835941070989,0.978398330086764,0.0025623890157749907,0.14142135834465194,0.10000000149011612,-0.041421356854535823,0.029718683697193,0.026148190925832565
Mouse,POLYIC_20190524_polyic___E8_P1_1,0.9762383323099486,0.9791197289290212,0.002881396619072607,0.14142135834465194,0.10000000149011612,-0.041421356854535823,0.03096047760845959,0.02619053453953908
Mouse,POLYIC_20190524_polyic___E9_P1_1,0.9730556274894258,0.9697507289228369,-0.0033048985665888875,0.20000000298023224,0.3162277707289988,0.11622776774876659,0.046534533176108735,0.0636267145981689
Mouse,POLYIC_20190531_polyic_m__E3_P1,0.9798429838244038,0.98218700420925,0.002344020384846157,0.10000000149011612,0.10000000149011612,0.0,0.023989534995794457,0.021093083178146593
Mouse,POLYIC_20190531_polyic_m__E3_P1_1,0.9790750692069695,0.9795644196394357,0.000489350432466229,0.10000000149011612,0.10000000149011612,0.0,0.026007890295038947,0.027463506446735345
Mouse,POLYIC_20190531_polyic_m__E3_P1_10,0.9800799604139024,0.9812270481076042,0.0011470876937017538,0.10000000149011612,0.10000000149011612,0.0,0.02342708637906802,0.022562105066457658
Mouse,POLYIC_20190531_polyic_m__E3_P1_11,0.9794262837219285,0.9810727755273083,0.0016464918053797906,0.10000000149011612,0.10000000149011612,0.0,0.026312746754098084,0.024675125242017183
Mouse,POLYIC_20190531_polyic_m__E3_P1_12,0.9795723118898712,0.981109252007611,0.00153694011773986,0.10000000149011612,0.10000000149011612,0.0,0.02536898507443814,0.023150544888936718
Mouse,POLYIC_20190531_polyic_m__E3_P1_13,0.9821516336280757,0.9829349135316201,0.0007832799035444316,0.10000000149011612,0.10000000149011612,0.0,0.02127230388840247,0.020360283086101896
Mouse,POLYIC_20190531_polyic_m__E3_P1_2,0.9820229914044932,0.9829226804991832,0.0008996890946899594,0.10000000149011612,0.10000000149011612,0.0,0.021605006549793748,0.01951156313117084
Mouse,POLYIC_20190531_polyic_m__E3_P1_3,0.9782849378491268,0.9811985948027753,0.0029136569536484247,0.10000000149011612,0.10000000149011612,0.0,0.027111078051307243,0.022190826097685308
Mouse,POLYIC_20190531_polyic_m__E3_P1_4,0.9759028102262867,0.977789974063222,0.0018871638369353239,0.20000000298023224,0.20000000298023224,0.0,0.034735625097164324,0.03226875275807012
